OTI ID,Title,Created By,Assignee,Status,Priority,Date,Start Time,End Time,Hours,Notes
OTI-10023,Update Authentication Flow,Alex,Jordan,In Progress,Medium,1/29/2026,10:00,17:00,8,
OTI-10023,Update Authentication Flow,Alex,Jordan,Completed,Medium,1/30/2026,9:00,15:00,6,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,1/30/2026,9:00,13:00,5,
OTI-10023,Update Authentication Flow,Alex,Jordan,In Progress,Medium,2/2/2026,9:00,11:00,2,
OTI-10234,User Onboarding Flow Redesign,Riley,Alex,Blocked,Critical,2/3/2026,14:00,17:00,3,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/4/2026,16:00,20:00,4,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/4/2026,9:00,11:00,2,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/5/2026,10:00,16:00,6,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/5/2026,10:00,13:00,3,
OTI-10023,Update Authentication Flow,Alex,Jordan,In Progress,Medium,2/6/2026,9:00,15:00,6,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/6/2026,9:00,11:00,2,
OTI-10234,User Onboarding Flow Redesign,Riley,Alex,Blocked,Critical,2/6/2026,14:00,20:00,6,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/6/2026,10:00,15:00,5,
OTI-10023,Update Authentication Flow,Alex,Jordan,In Progress,Medium,2/9/2026,16:00,19:00,3,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/9/2026,14:00,17:00,3,
OTI-10178,Dashboard Analytics Module,Taylor,Morgan,Blocked,Low,2/9/2026,14:00,22:00,8,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/9/2026,10:00,16:00,6,
OTI-10234,User Onboarding Flow Redesign,Riley,Alex,Blocked,Critical,2/9/2026,14:00,22:00,8,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/9/2026,10:00,17:00,7,
OTI-10178,Dashboard Analytics Module,Taylor,Morgan,Blocked,Low,2/10/2026,10:00,13:00,3,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/11/2026,14:00,18:00,4,
OTI-10178,Dashboard Analytics Module,Taylor,Morgan,Blocked,Low,2/11/2026,16:00,19:00,3,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/11/2026,10:00,14:00,4,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/11/2026,16:00,23:00,7,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/12/2026,10:00,18:00,8,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/12/2026,16:00,21:00,5,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/12/2026,10:00,14:00,4,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/16/2026,9:00,11:00,2,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/16/2026,16:00,19:00,3,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/16/2026,10:00,15:00,5,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/16/2026,10:00,14:00,4,
