"OTI ID","Title","Created By","Assignee","Status","Priority","Date","Start Time","End Time","Hours","Notes"
"OTI-10023","Update Authentication Flow","Alex","Jordan","In Progress","Medium","2026-01-29","10:00","17:00","7",""
"OTI-10023","Update Authentication Flow","Alex","Jordan","In Progress","Medium","2026-01-30","09:00","15:00","6",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-01-30","09:00","13:00","4",""
"OTI-10023","Update Authentication Flow","Alex","Jordan","In Progress","Medium","2026-02-02","09:00","11:00","2",""
"OTI-10234","User Onboarding Flow Redesign","Riley","Alex","Blocked","Critical","2026-02-02","14:00","20:00","6",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-02","16:00","22:00","6",""
"OTI-10023","Update Authentication Flow","Alex","Jordan","In Progress","Medium","2026-02-03","10:00","13:00","3",""
"OTI-10234","User Onboarding Flow Redesign","Riley","Alex","Blocked","Critical","2026-02-03","14:00","17:00","3",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-04","16:00","20:00","4",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-04","09:00","11:00","2",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-05","10:00","16:00","6",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-05","10:00","13:00","3",""
"OTI-10023","Update Authentication Flow","Alex","Jordan","In Progress","Medium","2026-02-06","09:00","15:00","6",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-06","09:00","11:00","2",""
"OTI-10234","User Onboarding Flow Redesign","Riley","Alex","Blocked","Critical","2026-02-06","14:00","20:00","6",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-06","10:00","15:00","5",""
"OTI-10023","Update Authentication Flow","Alex","Jordan","In Progress","Medium","2026-02-09","16:00","19:00","3",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-09","14:00","17:00","3",""
"OTI-10178","Dashboard Analytics Module","Taylor","Morgan","Blocked","Low","2026-02-09","14:00","22:00","8",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-09","10:00","16:00","6",""
"OTI-10234","User Onboarding Flow Redesign","Riley","Alex","Blocked","Critical","2026-02-09","14:00","22:00","8",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-09","10:00","17:00","7",""
"OTI-10178","Dashboard Analytics Module","Taylor","Morgan","Blocked","Low","2026-02-10","10:00","13:00","3",""
"OTI-10234","User Onboarding Flow Redesign","Riley","Alex","Blocked","Critical","2026-02-10","09:00","16:00","7",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-11","14:00","18:00","4",""
"OTI-10178","Dashboard Analytics Module","Taylor","Morgan","Blocked","Low","2026-02-11","16:00","19:00","3",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-11","10:00","14:00","4",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-11","16:00","23:00","7",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-12","10:00","18:00","8",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-12","16:00","21:00","5",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-12","10:00","14:00","4",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-16","09:00","11:00","2",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-16","16:00","19:00","3",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-16","10:00","15:00","5",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-16","10:00","14:00","4",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-17","09:00","14:00","5",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-18","09:00","13:00","4",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-18","10:00","13:00","3",""
"OTI-10156","Data Export Feature","Alex","Riley","Blocked","XXL","2026-02-18","10:00","17:00","7",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-18","16:00","19:00","3",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-19","14:00","20:00","6",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-19","16:00","20:00","4",""
